A_bl,b3,PBR_eff,L0,L_ol0
6.922347069432341904e-01,-1.183271430946667736e-02,3.717382875305985102e-01,1.937971940142127814e+00,1.677824780395766595e+02
7.393954793525756575e-01,-1.270132923215895430e-02,1.049438720425797111e+00,1.915006965904453295e+00,9.266681161432605052e+01
6.526223740488842351e-01,-1.125134265032522000e-02,1.780826879357916503e+00,1.891203735193359270e+00,6.484879134813625967e+01
8.165679099480579461e-01,-1.257884645750157945e-02,1.086495860211946995e+00,1.915627822911327938e+00,1.383313100320135050e+02
7.845071227310396189e-01,-1.320510200672456343e-02,6.312050824711962216e-01,1.927503645322361070e+00,1.584780688580677861e+02
8.848128124444258891e-01,-1.516699160338824508e-02,1.933047960679660227e+00,1.919593389804122197e+00,1.755051964442801151e-07
7.328405884037644258e-01,-1.193791666294232584e-02,4.303541973868838415e-11,1.925904416075897130e+00,2.095565000255891164e+02
6.792313713647285534e-01,-1.183115724186962862e-02,1.758606325331844022e+00,1.918139732743442183e+00,7.204656651356988739e+00
6.858853322132865138e-01,-1.145632375928550169e-02,1.941167397631969438e+00,1.923647385989087022e+00,4.108890078053860151e+01
7.021616218520433383e-01,-1.171276961985455965e-02,5.831671485637520691e-01,1.911888916952505513e+00,1.660069714431056127e+02
8.248689387626058078e-01,-1.423851395114137004e-02,1.241787373732012173e-01,1.939231931368862849e+00,1.286565685116740667e+02
5.184181708542523470e-01,-7.818457074199321177e-03,1.319616866194744276e+00,1.871178975028250591e+00,1.112655067335986985e+02
7.117462996932626407e-01,-1.188011978845944852e-02,1.332088068419849947e+00,1.866088691099820229e+00,5.522582720409708656e+01
7.409837843987276962e-01,-1.285199742634220849e-02,7.067855752954016984e-09,1.908030547912097807e+00,2.141263335777965722e+02
6.991343223810539964e-01,-1.234374838163710027e-02,1.655737320662779233e+00,1.901771139457603121e+00,9.960795693621605551e+01
6.440010682651279295e-01,-1.138116651012250832e-02,2.033060563869771631e+00,1.899122327998497894e+00,1.374638391575614466e-13
7.394678819192234132e-01,-1.334984019186246165e-02,2.030269592184460459e-01,1.927053337632329555e+00,1.280364133122561157e+02
6.362825831342716620e-01,-1.061460464568120786e-02,3.255212984362419143e-10,1.956583314293538711e+00,2.556675642042932850e+02
6.299366130869687996e-01,-1.105166673502784060e-02,1.558606857171209323e-09,1.959249336978884592e+00,2.021750685319163381e+02
7.886563411278353364e-01,-1.242525365683363331e-02,1.545766288703650515e+00,1.905487234238224525e+00,3.694750726886439907e+01
4.548468783587379383e-01,-6.905725628098291838e-03,9.862352549078857722e-01,1.839184539825282183e+00,7.327516717670627600e+01
6.896831330881751931e-01,-1.235474041828098224e-02,1.888689647484651069e+00,1.889036842195828791e+00,6.083730791987036213e+01
4.814567610226795358e-01,-7.151721397606451008e-03,1.446104225747601335e+00,1.849458863834279265e+00,5.760505591800234981e+01
7.718520110368113363e-01,-1.388052400032532309e-02,7.694899101564047772e-01,1.939175670555411068e+00,9.259954920972802483e+01
5.185889205570105576e-01,-8.476985693389879617e-03,1.403297625384209768e+00,1.880106256079854044e+00,8.847890344126534501e+01
9.246332311943809001e-01,-1.469340393234264477e-02,1.195037631898538288e+00,1.917895526749901380e+00,2.893329905036951492e-20
6.796369974448460693e-01,-1.159793980405908476e-02,1.320830846946000836e+00,1.948529731001002574e+00,8.371673966226634889e+01
6.801378636378814235e-01,-1.200362694608050375e-02,2.807168304934451797e+00,2.001800685382513212e+00,1.229051308637911462e-07
7.441704553953595314e-01,-1.308625176001831578e-02,1.724128789989656463e+00,1.878578774445996080e+00,1.023437483994851931e+02
7.817221654386850016e-01,-1.413004126384709465e-02,1.589771954665091469e+00,1.928740873078279794e+00,4.947114101455400004e+01
6.677698460549457149e-01,-1.153318238310605329e-02,4.336830661785531227e-01,1.910615428263051196e+00,1.480379521786769033e+02
5.835908626402501742e-01,-9.365310657690925980e-03,2.098713045340792061e+00,1.906721091253160028e+00,1.044059642559226262e+02
6.426804654162986408e-01,-1.160498301317435151e-02,3.035989057992397822e+00,1.878187286268776068e+00,2.495355406107346852e+01
6.356444061786562516e-01,-1.032018443794999185e-02,1.754416373589026801e+00,1.891698688954542185e+00,3.291035088962493660e+01
6.406126266613044740e-01,-1.068525605755623123e-02,1.864528426779018977e+00,1.887001606198474235e+00,5.237381613431161753e+01
6.575976245501728989e-01,-1.068918656630211440e-02,2.330785111172759549e+00,1.850935903312983299e+00,5.594779454499885674e+00
5.875986001029069872e-01,-9.497904055370784068e-03,1.431034577350448478e+00,1.949709187381357012e+00,1.533186354541376772e+02
8.840881040203958374e-01,-1.469643028913492945e-02,2.708004863234049875e+00,1.890051800167458440e+00,5.119639918608295265e-06
5.475008099970366526e-01,-8.883532154760310010e-03,1.948290675369941605e+00,1.956604014264103242e+00,7.979168308143483838e-08
5.776840679402968082e-01,-8.872534093121095533e-03,1.505440988853790296e+00,1.946542840495719462e+00,2.966802204010365784e+01
7.196650454315112189e-01,-1.243063868860626482e-02,1.142234083647791998e+00,1.934531171766496360e+00,1.138959580463307759e+02
5.454518177398176570e-01,-9.765134132943878095e-03,1.325600438668186332e+00,1.825545841499312649e+00,5.833169478930850005e+01
7.174670018815677563e-01,-1.274795443321513448e-02,1.049205723117064171e+00,1.951100332552953898e+00,1.136278493012615058e+02
8.360003851669433050e-01,-1.424911006627339535e-02,2.199101853717010613e+00,1.909900285664116737e+00,1.388120602323665480e+02
7.708024665197061864e-01,-1.164530356763886047e-02,3.066164648174582452e-01,1.927028519715286548e+00,2.304760271065566997e+02
7.998368193775889923e-01,-1.350492293878102941e-02,1.072690535925347355e+00,1.935190704800570760e+00,1.576470036674041353e+02
8.290194826802055328e-01,-1.376064941372475911e-02,2.505939309670691006e+00,1.904860018479909600e+00,8.252545474647493506e+01
8.996628023118146134e-01,-1.479498353054050329e-02,1.061741252536005264e+00,1.940743404553896490e+00,6.648944996884877412e+01
6.479017365589271327e-01,-1.115796615827513265e-02,1.887862705629073101e+00,1.886190057175215706e+00,8.464910880972595919e+01
7.879284457209519976e-01,-1.299242890386023350e-02,9.632799375227732996e-01,1.904375683073285641e+00,1.153232354919683331e+02
8.851326747789316496e-01,-1.545333759818317935e-02,1.236392217642166447e+00,1.936289946291212205e+00,1.424724279731032937e+02
6.905932244055654756e-01,-1.230527959346074986e-02,6.872324394814144366e-01,1.894107156757667942e+00,1.357807560369686826e+02
6.802536027827454923e-01,-1.270679495545455791e-02,7.517388340452733908e-02,1.917234415281599214e+00,2.285402973888038503e+02
5.556373371010508988e-01,-8.832575462917007306e-03,1.416944446216935605e+00,1.900674540848595884e+00,1.262117425872530703e+02
5.902958113425791353e-01,-9.791946633048874762e-03,1.187516849048903987e-10,1.909854964160362822e+00,1.265040121727957825e+02
8.564836067980925449e-01,-1.544368839363350135e-02,1.028923642564503860e+00,1.938524518213369907e+00,1.415527797386396003e+02
7.908133319182459875e-01,-1.309255313878347066e-02,2.336454869029532144e+00,1.961443448296122716e+00,9.429953988842376589e+01
7.493131805553168157e-01,-1.189673276187580911e-02,8.492606684460433097e-01,1.948880322841472390e+00,6.845134905546105131e+01
7.465594456822012281e-01,-1.205113437333134481e-02,1.299613756197773029e-01,1.897521312135389326e+00,1.693543050378975181e+02
7.155403483928615138e-01,-1.277709136770273715e-02,6.434987500283997353e-01,1.892229346077861640e+00,1.750170753913847363e+02
8.606664112749560225e-01,-1.350930407201842917e-02,4.710310642114098889e-01,1.964749365011100091e+00,6.487896795348270018e+01
6.655320237319342080e-01,-1.103998429894205088e-02,7.565602525521018608e-12,1.889662237215472329e+00,1.853637565747517897e+02
5.963795097820068225e-01,-9.459657295694381962e-03,1.689758232166138477e-15,1.874609830529417209e+00,1.193375194780099378e+02
7.283586914485590258e-01,-1.256406667097584653e-02,1.320489003266206218e+00,1.873608924120822694e+00,4.530148835263334917e+01
7.412125242191822672e-01,-1.325792676607924665e-02,2.079759843427608779e+00,1.943119126775149308e+00,6.927726253760260988e+01
7.995126329387225450e-01,-1.464014630305395144e-02,4.068663966753603978e-01,1.948566457837613619e+00,1.229484047896613532e+02
7.334560748145548814e-01,-1.294577081534933373e-02,1.723967595278201870e+00,1.947972392139575737e+00,1.366764889270677088e+02
6.411999080138919282e-01,-1.047391935383132529e-02,2.514190529784674499e+00,1.918052581187568162e+00,1.112431312693644655e-08
8.021990731279671216e-01,-1.378463207241297818e-02,2.806628049432377536e-01,1.951468260521624254e+00,1.059542928084715356e+02
6.550024955802105087e-01,-1.121541755890937374e-02,3.544185753355571844e+00,1.897334218572215958e+00,6.700097338964688206e-08
7.850116575235961403e-01,-1.249608064401974521e-02,6.161944340355866023e-01,1.962071065475267329e+00,1.524737290770077323e+02
6.749323870767648392e-01,-1.201104752265318674e-02,5.428414630766827953e-01,1.880399939433568646e+00,1.342274034533210454e+02
6.278907205345085618e-01,-1.182278384362511411e-02,2.289909873259503015e-01,1.876452933015116065e+00,1.204357050516720165e+02
6.413028094069136431e-01,-1.083405203454351068e-02,3.107241509615028097e+00,1.872799989973366053e+00,1.423722523175179000e-06
5.864012423355821069e-01,-8.975467983223123572e-03,4.185870037815523914e-01,1.878733340308447630e+00,1.983460277925958621e+02
6.855086106648543565e-01,-1.140782510174932936e-02,2.824594089960445344e-09,1.876991041535661875e+00,1.452593634784698793e+02
7.141764386756594973e-01,-1.238294160693537149e-02,1.407207746971206985e+00,1.942552257911460245e+00,1.489315194510772073e+02
1.152308602968556972e+00,-1.811913119456813950e-02,1.603141104754445490e+00,1.945124516116515156e+00,9.358260809983210038e+01
7.774337240893087753e-01,-1.226360849118077363e-02,1.190015490541902419e-10,1.885930158231716502e+00,1.656754699967550835e+02
6.165354737443643485e-01,-1.055177819356422839e-02,3.441753285318292388e+00,1.909586172378344715e+00,3.839696646211784992e-09
7.962717499483262795e-01,-1.352963934544900923e-02,3.478904527767021637e-01,1.928677066737363610e+00,1.754139152064147993e+02
6.642020663320000740e-01,-1.142287676546236211e-02,2.254886817611837291e+00,1.942434523946899860e+00,8.893110813296090100e+01
8.566284358540685595e-01,-1.340776523127319882e-02,3.931432652298384566e-09,1.908178300265492622e+00,1.741520041196952207e+02
7.920428222622640790e-01,-1.450176657872081186e-02,2.843460066305922296e-01,1.935177653901422490e+00,1.612866024245688834e+02
9.203085184452046708e-01,-1.530571616458140972e-02,1.023931165315693231e-08,1.945985814985253137e+00,1.822457144215549079e+02
9.802574899931365549e-01,-1.642784997382558398e-02,1.787307872606651138e+00,1.980509957313589808e+00,1.406572274264724172e+02
9.062121263079317979e-01,-1.579831171925970279e-02,1.615856294619589129e+00,1.941139651210684214e+00,6.698678975850771167e+01
5.640917254242626688e-01,-8.602015120245599250e-03,3.879655813721492597e-01,1.830574580510425209e+00,1.895827129643756734e+02
6.133011783148610840e-01,-1.147815368923890689e-02,2.229747519049693150e+00,1.825540206850400082e+00,1.149089535112143494e+02
